record,Q1,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q4_11,Q4_12,Q4_13,Q4_14,Q4_15,Q4_15_other,Q5_1,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_15_other,Q7_1,Q8,Q9_1,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q12,Q13,Q14,Q15,Q13_english,Q14_english,Q15_english
170,5,1,4,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,"Gelukkig heb deze taken niet meer, en wil dus geen hulp van een AI- assistent",Ik heb geen taken die tijdrovend of frustrerend zijn.,Hij hoeft mij niet te helpen,"Luckily I no longer have these tasks, so I don't want help from an AI assistant",I don't have tasks that are time-consuming or frustrating.,He doesn't have to help me
153,5,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,3,2,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3,Leren van talen,Soms geven of praten ze over een andere onderwerpen,Beter en hoe je het moet uitspreken,Learning languages,Sometimes they give or talk about other topics,Better and how to pronounce it
22,5,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,,5,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,,5,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,Plannen,Ingewikkeld,Met goede tips,Plans,Complicated,With good tips
206,5,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,4,1,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,Tot heden nog geen idee,Geen opmerkingen,Te weinig ervaring mee,No idea yet,No comments,Not enough experience with it
343,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,0,1,0,1,0,0,0,1,1,0,0,0,1,1,0,,2,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,2,Opzoeken van betrouwbare info. Bv over de geplande reis. Gebruik van iets etc.,Kost veel opzoekwerk. En denken over teveel vraagstellingen,"Met bondige info en waar het op gebaseerd is. Bronnen, verder te vinden informatie.","Looking up reliable information. For example, about your planned trip, how to use something, etc.",It takes a lot of research. And thinking about too many questions.,With concise information and its basis. Sources and further information available.
190,3,2,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,,5,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,,4,2,4,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2,Het uitwerken van observaties,Omdat het gewoon veel werk is en steeds herhaald wordt,Moet een verslag voor mij schrijven,Developing observations,Because it's just a lot of work and it gets repeated over and over again,I need to write a report for you
294,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,Veel tijd vragende onderwerpen van uiteenlopende aard,Het kost te veel tijd om het juiste antwoord te vinden.,Op grond van de grote hoeveelheid gegeven die voorhanden zijn,Time-consuming topics of various kinds,It takes too much time to find the right answer.,Based on the large amount of data available
61,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,email,4,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,,4,1,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,"budgeting, emailing proof",Het is belangrijk om nauwkeurig te zijn in het budget en de boodschap in e-mails af te stemmen op de juiste doelgroep,helpt mij al met de juiste prompts,"budgeting, emailing proof",It is important to be accurate in budgeting and tailor the message in emails to the right target group,already helps me with the right prompts
265,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,4,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,mocht ik en vraag hebben,niet,antworoden zoeken op mijn vraag,if i have a question,not ,find answers to my question
315,5,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,nog geen idee,niet,geen idee eigenlijk,no idea yet,not ,no idea actually
344,3,2,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,,1,3,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0,3,Weet ik niet zo goed,Heb nog niet echt met AI gewerkt,Dingen makkelijker maken,I don't really know,Haven't really worked with AI yet,Making things easier
259,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,3,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,Vragen,Beter dan Elf opOekwn,Goed,To ask,Better than Elf on Oekwn,Good
260,4,2,4,,,,,,,,,,,,,,,,,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,,2,1,4,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1,2,een lekkere maaltijd verzinnen,omdat ik het zelf iedere keer moet verzinnen,geen idee,come up with a tasty meal,because I have to come up with it myself every time,no idea
305,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,5,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,,3,1,3,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,0,2,Boodschappen en agenda beheren,Moet ik te vaak over nadenken,Door mij advies re geven,Manage groceries and agenda,Should I think about it too often?,By giving me advice
254,5,2,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,,3,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3,Makkelijk rcepten aan me geven.,Inspiratie ontbreekt.,Lekkere recepten aan me geven,Give me recipes easily.,Inspiration is lacking.,Give me delicious recipes
68,5,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,Geen.,Ik wil mijn eigen beslissingen houden.,Advies is welkom.,No.,I want to keep my own decisions.,Advice is welcome.
321,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,4,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,niet echt iets bijzonders,vind ik niet,niet,nothing really special,I don't think so,not 
240,5,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,3,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,,3,1,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,informatie verzamelen,weet niet of het correct is,bronnen vermelden,collect information,don't know if it's correct,cite sources
34,5,1,4,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,Weet niet echt,Nvt,Nvt,Don't really know,N/A,N/A
175,5,2,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Ik zou liever geen AI-assistent willen hebben!,Ik vertrouw AI-assistent niet,Ik zou het niet weten,I'd rather not have an AI assistant!,I don't trust AI assistant,I wouldn't know
52,5,1,2,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,,4,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,,3,1,3,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,"Invullen van formulieren, belastinggegevens weergegeven",Moet ik steeds terug naar app beastingdienst,Hij komt na enkele seconden al met een antwoord,"Filling out forms, tax information displayed",Do I have to keep going back to the app beasting service?,He comes up with an answer after just a few seconds
139,3,1,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,,4,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Email en media ch3ck,Constant filtered wel of niet Belangrijk is,Obv criteria direct filteren,Email and media ch3ck,Constant filtered whether or not it is important,Filter directly based on criteria
158,5,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,op dit moment nog niks,niet,op de achtergrond,nothing at the moment,not ,in the background
194,5,2,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Niets,1,3,1,0,1,0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,3,Helemaal niets,Ik vind AI nog niet uitgerijpt genoeg,Helemaal niet,Nothing at all,I don't think AI is mature enough yet,Not at all
198,3,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,5,2,4,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Verslagen duidelijk herschrijven,Saai,Ordelijk en kwaliteit staan voorop,Clearly rewrite reports,Boring,Orderliness and quality are paramount
200,5,2,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,niets,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3,nergens,ik heb geen vertrouwen in AI,niet,nowhere,I have no faith in AI,not 
99,5,2,4,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,3,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,3,huishouden,ben invalide kost veel tijd,geen idee,households,being disabled takes a lot of time,no idea
301,4,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,Niets in het bijzonder,?,"Ik vraag, AI antwoordt",Nothing in particular,?,"I ask, AI answers"
199,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,Boodschappen lijstje maken uit de aanbiedingen in folders,Kost veel tijd,Lijstje maken,Make a shopping list from the offers in flyers,Takes a lot of time,Make a list
7,5,2,4,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,,1,2,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,Met koken,Het opruimen,Geen idee,With cooking,The cleaning up,No idea
188,5,1,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,HELEMAAL NIET!!!!,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,met helemaal niks. Ik wil geen AI assistent!!!!,deze vragenlijst is frustrerend,niet,With absolutely nothing. I don't want an AI assistant!!!!,this questionnaire is frustrating,not 
280,5,1,4,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Niets,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,Ik heb geen hulp nodig,Ik kan er goed mee omgaan,Niet comfortabel,I don't need any help,I can handle it well,Not comfortable
95,5,1,4,,,,,,,,,,,,,,,,,3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,,4,3,3,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,Plannen c.q. agenda,Lastig bij te houden bij een nieuwe aanvraag,Voorstellen doen voor vrije tijdzones voor afspraken,Plans or agenda,Difficult to keep track of with a new application,Suggest free time zones for appointments
26,5,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,3,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,,3,1,2,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,Zou het echt niet weten,Niet,Logische oplossingen,I really wouldn't know,Not,Logical solutions
109,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,vraag stellen,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,Geen,Niet,Oplossingen,No,Not,Solutions
237,5,1,4,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,2,1,2,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,Liever een persoonlijke aanspreekbaar persoon,De interactie tussen normale mensen,Ondersteuning,Prefer a personally approachable person,The interaction between normal people,Support
154,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Vragenlijsten beantwoorden,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,1,3,4,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,0,1,3,Geen idee,Ik vind het niet frustrerend,Geen idee,No idea,I don't find it frustrating,No idea
133,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Geen behoefte,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,3,Niets ik houd er niet van,Helemaal niet,Kan het beste helpen door niets te doen,Nothing I don't like it,Not at all,The best way to help is to do nothing
163,5,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,2,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,Antwoorden zoeken,"Gaat soms veel tijden inzitten, tijd die ik nuttiger kan besteden",Ik vraag AI zoekt het antwoord,Searching for answers,"Sometimes it takes a lot of time, time that I could spend more usefully",I ask AI looks for the answer
126,4,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,2,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,,3,3,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,3,Plannen van dagelijkse taken en bedenken wat er gekookt moet worden,Ik plan veel te veel op 1 dag wat me overweldigd en blokkeer en door slechte eters in huis is koken heel frustrerend geworden,Haalbare dagplanningen maken en tips geven over wat te koken,Planning daily tasks and deciding what to cook,I plan way too much in one day which overwhelms and blocks me and because of fussy eaters in the house cooking has become very frustrating,Create feasible daily plans and give tips on what to cook
56,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Puzzels,Soms moeilijke oplossingen te vinden,Door snel het antwoord te geven,Puzzles,Sometimes difficult solutions to find,By giving the answer quickly
245,5,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,,2,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Vergelijken van prijzen en milieu aspecten van bv kleding,Moeilijk zelf te vinden,Overzicht maken van de opties,"Comparing prices and environmental aspects of clothing, for example",Difficult to find by yourself,Overview of the options
180,5,1,4,,,,,,,,,,,,,,,,,4,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,,2,3,4,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,nou ik heb veel emails help is prettig,omdat het er zoveel zijn,dat is altijd een probleem daarom juist,well I have a lot of emails help would be nice,because there are so many,that is always a problem that is why
174,4,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,,3,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,Agenda beheren,Lastig met veel telefonisch contact om dit te plannen,Alles netjes op een rij zetten wie wat wanneer,Manage agenda,Difficult to plan this with a lot of telephone contact,Putting everything neatly in a row who did what when
297,3,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,2,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,,1,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,Denk niet dat ik echt iets heb waarbij AI me dagelijks moet helpen,Denk er niet aan,Vragen beantwoorden,Don't think I really have anything that AI needs to help me with on a daily basis,Don't think about it,Answering questions
106,3,2,2,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0,,4,1,0,1,1,0,1,0,1,1,0,0,1,0,0,0,,5,3,4,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,3,Een planning maken,Kost teveel tijd,Tijdbesparing,Making a plan,Takes too much time,Time saving
271,3,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,informatie opzoeken bijv voor schoonmaken,kost veel tijd en vind het niet per se leuk,snel een goed antwoord vinden,look up information e.g. for cleaning,takes a lot of time and I don't necessarily like it,find a good answer quickly
5,4,2,2,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,,4,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,,2,1,3,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,3,"Alles, schrijven van mails en brieven en teksten",ik wil doeltreffend en effectief zijn,Goede kwaliteit van teksten,"Everything, writing emails, letters and texts",I want to be effective and efficient,Good quality of texts
203,5,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,2,3,2,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,Informatie opzoeken,Daarom,Net als gewoon internet,Looking up information,Therefore,Just like regular internet
202,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,4,1,4,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,2,niet van toepassing,is niet van toepassing,extra mogelijkheid om informatie op te vragen,not applicable,is not applicable,additional option to request information
83,5,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,3,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,,2,3,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,Het helpen met de financiele zaken die kunnen optreden in het dagelijks leven.,Het is prettig om advies te krijgen om dit juist te verkomen,Rustig betrouwbaar en verstandig indien mogelijk,Helping with financial matters that may arise in everyday life.,It is nice to get advice on how to prevent this,"Quiet, reliable and sensible if possible"
70,4,2,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,,5,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,,4,1,2,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,"Afspraken maken, Bellen In agenda invullen",Kost lang tijd voordat je geholpen wordt.,Dat hij zalelijk als menselijke robot spreekt en verwerkt,"Make appointments, call, fill in the agenda",It takes a long time before you get help.,That he speaks and processes blissfully as a human robot
337,5,1,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,3,financieel helpen daar waar nodig is,goede vraag,ik heb echt geen flauw idee,provide financial assistance where necessary,good question,I really have no idea
300,2,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,,5,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,,5,3,4,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,"Koken, recepten",Ik heb geen zin om ingewikkeld te koken.,Eenvoudige recepten op basis van ingrediënten.,"Cooking, recipes",I don't feel like cooking complicated food.,Simple recipes based on ingredients.
121,4,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,,5,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,,5,2,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,Analyses maken voor het bedrijf,Is echt veel werk om dit allemaal juist in te voeren,Organiseren en goed weergeven in een diagram,Performing analyses for the company,It really is a lot of work to enter all of this correctly,Organize and display well in a diagram
122,2,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,,4,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,,4,3,4,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,planning en inzicht,kost veel tijd,snellere feedback en oplossingen,planning and insight,takes a lot of time,faster feedback and solutions
296,4,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,plannen voor studenten,tijdrovend,alles uit handen nemen,plans for students,time-consuming,take care of everything
97,2,2,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Documenten schrijven,Formuleerde het soms net zakelijker,Geen idee,Writing documents,Sometimes I formulated it in a more businesslike manner,No idea
105,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,4,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,,2,1,1,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,3,Mijn agenda bijhouden en afspraken plant,Ik vergeet de vaak,Mij meldingen heeft en helpt met plannen,Keeping track of my agenda and scheduling appointments,I often forget the,I have notifications and help with planning
211,5,1,4,,,,,,,,,,,,,,,,,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,3,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,3,Ik kan geen onderwerp vinden,Ik vind het niet frustrerend of tijdrovend,weet ik niet,I can't find a topic,I don't find it frustrating or time consuming,I don't know
186,2,1,4,,,,,,,,,,,,,,,,,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,4,3,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,3,Nee,Ik vind het niet tijdrovend,Ik vraag me af of jij mij helpt,No,I don't find it time consuming,I wonder if you can help me
